type,properties,id,yolo_pred,Confidence,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 4.8703112602233887, ""confidence"": 0.9980000257492061 }",323,3,0.9087,177.8864715054573,57.34601495368184,440420.2180291513,4463558.407254313,422.2612151345244,76.52627555372347,0.72966,3,2
Feature,"{ ""height"": 4.7082958221435547, ""confidence"": 0.97359997034072809 }",378,3,0.9251,172.63192717517015,57.99585963884944,440966.0263217732,4462679.285471364,123.68214743230985,48.85455172502373,0.8331399999999999,3,1
Feature,"{ ""height"": 4.985936164855957, ""confidence"": 0.99409997463226307 }",409,3,0.9081,176.713384947855,55.71883566958625,440290.25581849663,4463530.143605218,415.06108114473074,75.74632117701826,0.57868,3,2
Feature,"{ ""height"": 4.5977382659912109, ""confidence"": 0.99400001764297408 }",472,3,0.8764,290.26589300261037,79.11207164188204,441083.1154839544,4463314.876504003,247.34946579791398,67.99673825326504,0.9049999999999999,3,0
Feature,"{ ""height"": 5.3479371070861816, ""confidence"": 1.0 }",476,3,0.809,161.81559092564544,51.59726076033139,440536.47239083453,4463905.890406491,182.48932793831364,57.01702600967651,0.7528599999999999,3,2
Feature,"{ ""height"": 4.4471645355224609, ""confidence"": 0.97380000352859508 }",479,2,0.1491,213.47740121755496,64.02140707796787,440217.78297115135,4463307.77396183,410.15133648912314,74.49482403817977,0.72502,3,2
Feature,"{ ""height"": 3.5125000476837158, ""confidence"": 0.98360002040863004 }",574,3,0.8661,66.1296834575077,32.57320507057616,440735.8338386497,4462778.43739845,193.9567901921913,58.89734017064935,0.7634200000000001,3,1
Feature,"{ ""height"": 4.9955072402954102, ""confidence"": 0.98710000514984109 }",582,3,0.8954,195.7432674035322,59.54951704850818,441039.20799194433,4463352.4463734925,261.54377603451775,71.7812690328783,0.9036799999999999,3,1
Feature,"{ ""height"": 6.6657891273498526, ""confidence"": 0.98140001296997004 }",603,3,0.8624,235.9072179847223,67.91369549994658,443013.85909922933,4462848.658103378,235.67939612381278,61.52606413442409,0.8992800000000001,3,4
Feature,"{ ""height"": 4.2268271446228027, ""confidence"": 0.95260000228881803 }",621,3,0.9177,163.67267693446342,52.892146106088774,442346.9942109367,4462758.375841394,232.94315847732133,66.39906866160891,0.86518,3,1
Feature,"{ ""height"": 5.2259931564331046, ""confidence"": 0.9980000257492061 }",647,3,0.9036,257.7914763640034,69.79851753488371,441888.34132036776,4462793.948791779,218.1307461088242,65.24722908518567,0.8956799999999999,3,1
Feature,"{ ""height"": 6.0570230484008789, ""confidence"": 0.98299998044967607 }",648,3,0.913,505.3731270393047,105.27473367298242,441708.3524117501,4463945.919217471,376.4763227440555,93.68449645535755,0.87016,3,0
Feature,"{ ""height"": 5.0989303588867188, ""confidence"": 0.98299998044967607 }",673,3,0.8932,212.82984019601133,58.641924592180885,442822.11938312405,4463376.365119311,249.7176001112213,67.8919089710325,0.9002800000000001,3,4
Feature,"{ ""height"": 3.9776549339294429, ""confidence"": 0.98979997634887706 }",705,3,0.8923,233.82129463028585,65.45642363783863,442771.008196531,4462836.983409935,253.91640921991765,71.60766264301485,0.8824799999999999,3,4
Feature,"{ ""height"": 4.1363849639892578, ""confidence"": 0.99980002641677812 }",734,3,0.9121,221.53395197010303,64.5909124448622,442741.2790648031,4463295.891116129,217.60233166258186,63.71156449861608,0.8873,3,4
Feature,"{ ""height"": 4.5864477157592773, ""confidence"": 0.99849998950958208 }",801,3,0.8542,273.40896083405664,76.00394728701147,440245.98945568636,4464018.607356015,295.4716312695008,64.06053578851487,0.7673,3,2
Feature,"{ ""height"": 5.350250244140625, ""confidence"": 0.98979997634887706 }",845,3,0.9381,289.84963448135676,74.89463294127238,441543.47926089226,4463491.576459329,343.46222801646746,86.27247459628289,0.81416,3,0
Feature,"{ ""height"": 6.0672736167907706, ""confidence"": 0.98790001869201605 }",855,3,0.8884,261.4980470012857,69.54234714199029,443997.6758090478,4462901.631974515,433.1769026130548,96.07790858578042,0.88798,3,4
Feature,"{ ""height"": 4.822265625, ""confidence"": 0.97899997234344405 }",915,3,0.9004,238.38016168275553,68.22809040689536,440960.5639607172,4463898.376852814,174.69433922153468,56.99137423065309,0.75878,3,2
