epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,720.324,1.26861,1.1955,1.67238,0.7894,0.38757,0.43437,0.29817,1.13955,0.94655,1.57682,0.000935018,0.000935018,0.000935018
82,728.97,1.29218,1.19041,1.6939,0.82454,0.38412,0.43165,0.29107,1.15897,0.92057,1.59406,0.000932818,0.000932818,0.000932818
83,737.713,1.27511,1.19074,1.69388,0.82185,0.41415,0.48308,0.32697,1.1677,0.88534,1.60418,0.000930618,0.000930618,0.000930618
84,746.48,1.24441,1.13481,1.653,0.87763,0.38646,0.47827,0.33066,1.10046,0.85656,1.54792,0.000928418,0.000928418,0.000928418
85,755.126,1.26583,1.11318,1.66803,0.81909,0.43139,0.46542,0.31277,1.14993,0.90326,1.58628,0.000926218,0.000926218,0.000926218
86,763.932,1.26346,1.1548,1.66628,0.84676,0.40963,0.48559,0.33398,1.12419,0.87136,1.58193,0.000924019,0.000924019,0.000924019
87,772.837,1.24919,1.16991,1.66412,0.82731,0.43597,0.48818,0.33449,1.12891,0.84658,1.54862,0.000921819,0.000921819,0.000921819
88,781.427,1.23504,1.16474,1.64669,0.78973,0.41582,0.44742,0.30037,1.15377,0.92981,1.58655,0.000919619,0.000919619,0.000919619
89,790.112,1.237,1.15997,1.66155,0.83544,0.4199,0.4839,0.33593,1.10345,0.85448,1.54398,0.000917419,0.000917419,0.000917419
90,798.942,1.25974,1.16679,1.66141,0.83746,0.4285,0.48768,0.33809,1.10493,0.87797,1.53963,0.00091522,0.00091522,0.00091522
91,807.738,1.24869,1.13315,1.65038,0.84761,0.44993,0.51289,0.36373,1.0908,0.83602,1.51696,0.00091302,0.00091302,0.00091302
92,816.868,1.25494,1.1604,1.65809,0.87829,0.39604,0.46968,0.33087,1.10148,0.8603,1.53813,0.00091082,0.00091082,0.00091082
93,825.759,1.26542,1.13288,1.65839,0.88159,0.41068,0.47227,0.32168,1.12059,0.84461,1.54628,0.00090862,0.00090862,0.00090862
94,834.981,1.23446,1.13579,1.6362,0.80808,0.42896,0.4497,0.31215,1.11511,0.90204,1.5432,0.00090642,0.00090642,0.00090642
95,843.995,1.2103,1.14304,1.62477,0.8657,0.40544,0.54194,0.38914,1.07051,0.81846,1.50375,0.000904221,0.000904221,0.000904221
96,852.894,1.23208,1.13036,1.65111,0.85795,0.41639,0.6026,0.43671,1.0545,0.81049,1.5006,0.000902021,0.000902021,0.000902021
97,861.67,1.21126,1.06345,1.61751,0.84947,0.44069,0.54841,0.38814,1.09667,0.83331,1.52445,0.000899821,0.000899821,0.000899821
98,870.358,1.23095,1.09284,1.62905,0.84803,0.43768,0.51665,0.363,1.0662,0.82405,1.51,0.000897621,0.000897621,0.000897621
99,879.183,1.20801,1.07147,1.62556,0.86273,0.40834,0.51383,0.37157,1.06866,0.80465,1.5084,0.000895422,0.000895422,0.000895422
100,887.855,1.23275,1.1018,1.62783,0.87213,0.42039,0.54747,0.3862,1.07261,0.81589,1.50275,0.000893222,0.000893222,0.000893222
101,896.728,1.18885,1.07244,1.59012,0.85751,0.409,0.49859,0.35691,1.07107,0.81059,1.50094,0.000891022,0.000891022,0.000891022
102,905.656,1.18585,1.08381,1.60252,0.8861,0.44042,0.51478,0.36903,1.06117,0.79615,1.48942,0.000888822,0.000888822,0.000888822
103,914.426,1.19677,1.05209,1.61329,0.86501,0.39635,0.52996,0.38293,1.09166,0.84995,1.51764,0.000886622,0.000886622,0.000886622
104,923.05,1.17906,1.08263,1.59067,0.86722,0.44821,0.59421,0.44098,1.0618,0.77159,1.4937,0.000884423,0.000884423,0.000884423
105,931.779,1.19179,1.0509,1.6099,0.88085,0.43501,0.59698,0.43167,1.07268,0.79738,1.49327,0.000882223,0.000882223,0.000882223
106,940.58,1.2107,1.07758,1.60927,0.86181,0.4618,0.52595,0.37511,1.06163,0.77985,1.47975,0.000880023,0.000880023,0.000880023
107,949.164,1.19794,1.06762,1.6054,0.89426,0.42001,0.55501,0.40134,1.06668,0.7866,1.49366,0.000877823,0.000877823,0.000877823
108,957.756,1.16024,1.04992,1.58046,0.83562,0.46391,0.74926,0.57854,1.07195,0.78562,1.4999,0.000875624,0.000875624,0.000875624
109,966.695,1.20562,1.10638,1.60864,0.8827,0.41202,0.55643,0.41058,1.05125,0.77776,1.47267,0.000873424,0.000873424,0.000873424
110,975.275,1.19044,1.05796,1.59962,0.8905,0.43078,0.71714,0.50749,1.03432,0.78053,1.47039,0.000871224,0.000871224,0.000871224
111,983.963,1.18738,1.06321,1.60383,0.8662,0.43318,0.52904,0.38518,1.04088,0.77803,1.48159,0.000869024,0.000869024,0.000869024
112,992.579,1.19309,1.06057,1.59976,0.85885,0.46615,0.51365,0.36784,1.05448,0.77424,1.47074,0.000866824,0.000866824,0.000866824
113,1001.38,1.21355,1.07019,1.639,0.89261,0.42811,0.57209,0.42556,1.03163,0.73507,1.47975,0.000864625,0.000864625,0.000864625
114,1010.04,1.17237,1.00563,1.57882,0.86037,0.45397,0.71898,0.56434,1.00815,0.77685,1.46015,0.000862425,0.000862425,0.000862425
115,1018.84,1.17144,1.08115,1.58473,0.60003,0.55276,0.58459,0.43131,1.05288,0.78006,1.48317,0.000860225,0.000860225,0.000860225
116,1027.68,1.16515,0.98816,1.56989,0.88184,0.44715,0.55385,0.39915,1.01429,0.75928,1.46105,0.000858025,0.000858025,0.000858025
117,1036.36,1.15571,1.0146,1.56238,0.45078,0.77552,0.62147,0.47235,1.01067,0.7323,1.44109,0.000855826,0.000855826,0.000855826
118,1045.02,1.19331,1.03223,1.58763,0.84663,0.42505,0.57922,0.4348,1.04295,0.79574,1.46215,0.000853626,0.000853626,0.000853626
119,1053.73,1.15696,0.99661,1.5555,0.86597,0.4616,0.54304,0.40424,1.00794,0.75281,1.43642,0.000851426,0.000851426,0.000851426
120,1062.34,1.13723,0.99706,1.55681,0.88999,0.44956,0.6536,0.4921,1.0014,0.7429,1.43969,0.000849226,0.000849226,0.000849226
121,1071.03,1.1636,0.97437,1.56281,0.90555,0.47037,0.57607,0.42668,1.00024,0.70957,1.4502,0.000847026,0.000847026,0.000847026
122,1079.72,1.17833,1.01291,1.58288,0.43434,0.75524,0.7261,0.54352,0.99684,0.72801,1.44124,0.000844827,0.000844827,0.000844827
123,1088.78,1.1207,1.05595,1.54517,0.88316,0.45856,0.527,0.38858,1.01963,0.73832,1.43809,0.000842627,0.000842627,0.000842627
124,1097.44,1.13666,0.99607,1.55877,0.86003,0.43635,0.69949,0.51689,1.0344,0.80805,1.47069,0.000840427,0.000840427,0.000840427
125,1106.09,1.1228,1.01109,1.5446,0.88491,0.45288,0.57852,0.43765,0.97884,0.71679,1.42151,0.000838227,0.000838227,0.000838227
126,1114.81,1.13187,0.99519,1.55714,0.63007,0.75253,0.7474,0.58672,0.99894,0.71785,1.44306,0.000836027,0.000836027,0.000836027
