type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 5.289283275604248, ""confidence"": 0.99379998445510809 }",476,3,0.9214,3.0,157.43390823775962,53.204755699576026,436055.1446843975,4461823.277956787,201.94948755671754,57.158392092845546,0.90976,3,1
Feature,"{ ""height"": 6.2688469886779776, ""confidence"": 0.97860002517700206 }",479,0,0.9344,3.0,632.5467395986485,115.26834980410462,435209.64020973485,4462110.99153677,447.7356071544852,90.2876256693031,0.56928,3,1
Feature,"{ ""height"": 5.3709039688110352, ""confidence"": 0.95579999685287409 }",574,2,0.6579,3.0,1243.1179978357604,203.64606310359432,437983.3415688764,4460903.374778054,854.2391999188834,127.68400267549187,0.59202,2,2
Feature,"{ ""height"": 5.8802871704101562, ""confidence"": 0.99199998378753607 }",582,3,0.8394,3.0,194.54039751289233,61.05113250946303,436625.20269821375,4460599.741002736,280.82908559588094,69.65129195516472,0.8957799999999999,3,4
Feature,"{ ""height"": 6.0660591125488281, ""confidence"": 0.97850000858306807 }",603,3,0.9053,3.0,204.5108908290252,58.857902243376024,436442.1776777837,4461457.9204395,191.7947813977936,58.637189723182225,0.9217599999999999,3,3
Feature,"{ ""height"": 5.1066551208496094, ""confidence"": 0.95520001649856512 }",621,2,0.1399,2.0,6530.412112396473,540.3330004103168,436868.46074052935,4462168.57733351,293.4292618164456,75.38828794010085,0.77556,2,0
Feature,"{ ""height"": 5.7071976661682129, ""confidence"": 0.99419999122619607 }",647,3,0.7243,0.0,169.01887094885075,54.503679953691886,436787.62381417607,4461335.969925258,194.89589413492672,57.793085033363425,0.8543,3,3
Feature,"{ ""height"": 1.0, ""confidence"": 0.96490001678466808 }",648,0,0.9037,3.0,137.0664929150456,47.286295035732955,436761.28635005734,4461644.518421406,178.28869434037907,56.04163100241921,0.8887799999999999,3,3
Feature,"{ ""height"": 5.1077671051025391, ""confidence"": 0.96829998493194502 }",673,0,0.9502,3.0,639.568764682285,115.51221210578306,435814.56220742676,4462336.512595999,295.67971221772825,70.14242240456342,0.7971,3,1
Feature,"{ ""height"": 5.0448017120361328, ""confidence"": 0.98049998283386208 }",705,3,0.9068,3.0,151.36828282021122,49.23988757405359,436814.1815360433,4461412.394533748,194.712749707879,58.07041648885504,0.8215999999999999,3,3
Feature,"{ ""height"": 4.7447347640991211, ""confidence"": 1.0 }",734,3,0.9311,3.0,183.91658358728472,56.31413070359609,436914.42336090334,4461135.929733372,206.21165406296512,58.73487090200399,0.9038,3,3
Feature,"{ ""height"": 2.2817842960357662, ""confidence"": 0.98369997739791804 }",801,3,0.8638,3.0,69.87107248154338,37.55635732852162,435415.57636288984,4460701.498065482,184.68838018700026,55.82939072505216,0.90764,3,4
Feature,"{ ""height"": 0.0, ""confidence"": 0.98919999599456709 }",845,3,0.8897,3.0,297.6003082618869,75.5589965793392,435580.09349837864,4461348.23167997,290.3417782699258,71.47327269975108,0.89998,3,4
Feature,"{ ""height"": 5.0598306655883789, ""confidence"": 0.99419999122619607 }",855,3,0.9006,3.0,256.8775127820564,70.03408633162081,436278.0047908996,4460575.6853918005,237.92076239216027,64.1012188237849,0.8809800000000001,3,4
