type,properties,id,yolo_pred,Confidence,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 6.0060582160949707, ""confidence"": -1.0 }",7110,3,0.8701,131.06067991689432,46.75452948144558,428714.349245926,4619824.087929102,159.33053864699917,50.13650888270748,0.8432999999999999,3,1
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7117,3,0.9156,311.72645059069464,76.3680742091293,427930.69148382073,4617059.611124739,271.226424284827,73.43000474776781,0.82082,3,1
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7131,3,0.6924,56.5156295210945,34.711774427019265,431802.763428264,4622288.543452501,124.71723165821834,45.25851825536268,0.68266,3,3
Feature,"{ ""height"": 5.1340904235839844, ""confidence"": -1.0 }",7145,2,0.7362,270.5821511928403,67.25549869607616,430541.0698373841,4621197.826046121,90.97520955111004,38.34482735082723,0.81556,3,3
Feature,"{ ""height"": 5.0876302719116211, ""confidence"": -1.0 }",7149,3,0.8554,175.93210565855722,54.2817147277719,429988.4522517858,4620980.8280099705,460.79344471430187,88.30146864166532,0.80292,3,3
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7165,3,0.8676,377.6802082413566,82.94900447372255,429554.66177221766,4623743.449090756,332.552365876964,77.44320677399438,0.7893399999999999,3,3
Feature,"{ ""height"": 3.8250095844268799, ""confidence"": -1.0 }",7173,3,0.5626,130.04732270298524,46.6103064684143,428580.15276179137,4619845.419848799,115.45660950806777,41.17411841720122,0.85074,3,1
Feature,"{ ""height"": 5.3332390785217276, ""confidence"": -1.0 }",7175,3,0.655,175.5751077046088,54.738513953235106,428422.15987808123,4619535.666808597,159.13964456896872,54.51074029864437,0.82182,3,1
Feature,"{ ""height"": 3.7249033451080322, ""confidence"": -1.0 }",7178,3,0.876,243.88223880696273,66.97605073956758,427775.02124011796,4615735.140139816,399.3702642036932,94.7496899385604,0.8545,3,1
Feature,"{ ""height"": 3.870061874389648, ""confidence"": -1.0 }",7210,0,0.7329,103.98654488882836,45.879367022094634,430138.2730172849,4623848.571317018,220.4480723057167,60.062607270735256,0.8166599999999999,0,3
Feature,"{ ""height"": 4.3978757858276367, ""confidence"": -1.0 }",7241,2,0.8215,303.35161807280764,72.85940303773009,432890.47098840796,4622976.136240942,409.74982888778425,99.89784869063314,0.70852,2,0
Feature,"{ ""height"": 4.3090744018554688, ""confidence"": -1.0 }",7253,2,0.7012,1241.792483603941,276.3261225687714,430856.0754919103,4620207.064964513,120.22319877360053,43.821428886775415,0.67466,3,2
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7267,3,0.6767,110.97313734860444,53.8271367564728,429773.236568948,4621925.7683109585,159.03626630341108,60.72303045321231,0.7934399999999999,3,3
Feature,"{ ""height"": 4.2030987739562988, ""confidence"": -1.0 }",7270,3,0.8793,176.66432241202418,54.9592958692544,429657.96584103064,4621732.464696467,194.35554398446925,65.99353502602244,0.82058,3,3
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7279,3,0.5844,38.721214245787024,24.926220940299057,428835.621528569,4619560.72182811,148.79932436273674,53.38448273296376,0.8313200000000001,3,1
Feature,"{ ""height"": 5.3215212821960449, ""confidence"": -1.0 }",7324,3,0.8172,229.4128746113616,63.3670538968956,429967.94811748463,4621059.377635892,417.9021376453522,79.1345357877702,0.84986,3,3
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7371,2,0.8318,211.2486261359938,78.45622418194479,430963.62742391083,4621269.697889696,147.81423558605138,48.97752765487932,0.8250200000000001,3,3
Feature,"{ ""height"": 3.2779922485351558, ""confidence"": -1.0 }",7372,3,0.6911,64.9589923845727,32.24524344463354,430912.68199456675,4620868.622430202,146.92251664002623,51.55469027808567,0.7477199999999999,3,3
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7385,3,0.768,62.70510441467912,33.9118021803671,429768.1120218739,4623919.439289487,359.3219825421577,82.61575007374739,0.8026399999999999,3,3
Feature,"{ ""height"": 5.6198348999023438, ""confidence"": -1.0 }",7394,3,0.6358,144.0612457231631,52.26018117006821,428854.62798967573,4619852.971327542,101.77182325835236,41.03699812422599,0.74352,3,1
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7408,3,0.7098,82.25939525411405,36.325341628797176,431549.0358805659,4620452.467432736,177.82930906243317,54.83076861315108,0.79268,3,3
Feature,"{ ""height"": 6.333803653717041, ""confidence"": -1.0 }",7416,2,0.6318,3544.392360294997,246.07998090582575,430702.9369538256,4622874.613966775,239.52946326519614,66.7601220466506,0.70362,2,2
Feature,"{ ""height"": 3.6147434711456299, ""confidence"": -1.0 }",7418,3,0.8231,76.46963085240715,35.42606717903271,430397.0572518109,4621296.6855784645,90.19509746965439,38.71799884162438,0.7668200000000001,3,3
Feature,"{ ""height"": 4.2982263565063477, ""confidence"": -1.0 }",7420,3,0.6358,89.37439857257553,42.494560288000855,430153.2467791762,4620190.711671905,192.06817546610594,56.75330050450968,0.7841,3,3
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7438,3,0.8225,151.0314152100471,53.41545714764334,429430.05150097905,4621527.937414182,262.31140929707686,64.9594724170424,0.80564,3,3
Feature,"{ ""height"": 3.2917077541351318, ""confidence"": -1.0 }",7440,3,0.8633,151.36101483563078,52.49840340539291,429392.24245328194,4619661.6637015045,254.48317881970098,67.7176174910977,0.8235800000000001,3,1
Feature,"{ ""height"": 4.7808694839477539, ""confidence"": -1.0 }",7447,3,0.898,142.22236911308093,50.775288926833625,428512.1259184741,4619234.0159612,180.34336879242215,54.49007655184694,0.69718,3,1
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7460,2,0.8064,115.90444385501031,44.048960088774166,433008.75718396326,4622979.125770754,431.944105955517,97.86400649649548,0.71836,2,0
Feature,"{ ""height"": 5.1102542877197275, ""confidence"": -1.0 }",7475,3,0.5861,109.3599414420852,41.841331623773954,431126.87715245807,4620885.169370094,242.6259544922031,62.50712079764842,0.77548,3,3
Feature,"{ ""height"": 3.5869565010070801, ""confidence"": -1.0 }",7503,3,0.8453,312.60683575595004,80.15384976649732,429281.69694861886,4619073.483548236,191.1123229476164,60.547268730299905,0.85182,3,1
Feature,"{ ""height"": 3.4045801162719722, ""confidence"": -1.0 }",7505,2,0.7888,1657.4778960858434,174.794881425386,428840.1000645789,4616545.413052888,390.12019502785427,75.7140360998683,0.8057399999999999,3,1
Feature,"{ ""height"": 4.2141461372375488, ""confidence"": -1.0 }",7507,3,0.6884,101.61760121730396,41.057476146525254,428815.84563215374,4619755.950946663,162.5580986745387,52.35914682743025,0.78054,3,1
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",7508,2,0.8645,626.0830229020405,174.55715700570397,428732.46556883183,4621200.192238089,820.1143387185808,120.26432607439733,0.75092,2,3
Feature,"{ ""height"": 4.9629111289978027, ""confidence"": -1.0 }",7512,3,0.9284,176.62641074031822,57.64652532779145,428053.84909334476,4616296.472248797,154.36861302030917,51.33995198737366,0.74622,3,1
Feature,"{ ""height"": 5.3866367340087891, ""confidence"": -1.0 }",7516,3,0.7893,132.14728775129038,50.524509032180646,427763.7846736958,4616766.82849749,156.66273949912156,52.38949731994169,0.83334,3,1
