epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,9681.62,1.8456,1.72378,2.21446,0.71714,0.35951,0.36728,0.17073,1.8097,1.57211,2.26164,0.000707707,0.000707707,0.000707707
57,9852.68,1.89628,1.59435,2.17135,0.65711,0.40496,0.36906,0.183,1.7912,1.59108,2.25495,0.000700374,0.000700374,0.000700374
58,9901.56,1.89593,1.66651,2.1985,0.5374,0.32256,0.3184,0.14469,1.78857,1.58169,2.2973,0.000693042,0.000693042,0.000693042
59,9949.49,1.86296,1.67728,2.14255,0.64419,0.25857,0.29626,0.14568,1.75934,1.55,2.23327,0.000685709,0.000685709,0.000685709
60,9997.78,1.81144,1.5485,2.1389,0.52714,0.31298,0.30737,0.15356,1.76223,1.53048,2.23855,0.000678377,0.000678377,0.000678377
61,10900.5,1.86887,1.64574,2.19463,0.53924,0.32945,0.31167,0.1516,1.73993,1.54053,2.2441,0.000671044,0.000671044,0.000671044
62,10947.9,1.86882,1.56303,2.18361,0.67768,0.29904,0.34146,0.17656,1.74079,1.54341,2.23976,0.000663711,0.000663711,0.000663711
63,10995.1,1.87073,1.66276,2.22155,0.64014,0.30102,0.34235,0.17286,1.77933,1.49608,2.24578,0.000656379,0.000656379,0.000656379
64,11569,1.83285,1.64393,2.15356,0.5527,0.33142,0.34266,0.1676,1.74087,1.47635,2.22562,0.000649046,0.000649046,0.000649046
65,11615.9,1.78638,1.61196,2.12937,0.61785,0.38158,0.3504,0.16983,1.74159,1.47468,2.2428,0.000641714,0.000641714,0.000641714
66,11663.1,1.82261,1.5548,2.09379,0.65545,0.35284,0.37841,0.17752,1.7167,1.4932,2.2189,0.000634381,0.000634381,0.000634381
67,12527.3,1.81694,1.60925,2.12148,0.62764,0.37262,0.38144,0.19175,1.74023,1.52022,2.20831,0.000627048,0.000627048,0.000627048
68,12576.1,1.76429,1.50917,2.06495,0.58484,0.3325,0.32494,0.16873,1.68197,1.47816,2.15508,0.000619716,0.000619716,0.000619716
69,12623.7,1.81041,1.63499,2.1672,0.59125,0.33701,0.34246,0.18403,1.66221,1.43795,2.14485,0.000612383,0.000612383,0.000612383
70,12671.4,1.7917,1.58649,2.12608,0.64463,0.32928,0.35452,0.18982,1.64769,1.46674,2.11952,0.000605051,0.000605051,0.000605051
71,13272.4,1.84794,1.66699,2.14652,0.68335,0.32541,0.35952,0.17733,1.66609,1.46204,2.13919,0.000597718,0.000597718,0.000597718
72,13357.4,1.7985,1.50965,2.08542,0.704,0.33193,0.36107,0.17806,1.7101,1.46566,2.19593,0.000590385,0.000590385,0.000590385
73,13406.3,1.78081,1.44392,2.05531,0.739,0.33279,0.37494,0.18468,1.70478,1.44362,2.18731,0.000583053,0.000583053,0.000583053
74,13453.7,1.7363,1.50759,2.09626,0.64461,0.36251,0.40524,0.21189,1.72227,1.42751,2.18416,0.00057572,0.00057572,0.00057572
75,13526.6,1.78482,1.52026,2.1255,0.74092,0.35268,0.41282,0.2231,1.70644,1.40281,2.1693,0.000568388,0.000568388,0.000568388
76,13575.7,1.80118,1.58159,2.13237,0.77865,0.37244,0.42632,0.2286,1.66144,1.41029,2.14696,0.000561055,0.000561055,0.000561055
77,13626.2,1.77174,1.51703,2.13546,0.65825,0.41737,0.42684,0.23064,1.64327,1.4058,2.13108,0.000553722,0.000553722,0.000553722
78,13933,1.79872,1.49723,2.04953,0.57656,0.458,0.42132,0.22728,1.66509,1.41041,2.15155,0.00054639,0.00054639,0.00054639
79,13982.7,1.73128,1.43182,2.05247,0.62175,0.36421,0.40484,0.21249,1.68606,1.40024,2.16747,0.000539057,0.000539057,0.000539057
80,14032.4,1.76141,1.4473,2.09596,0.59155,0.39077,0.36212,0.18705,1.73503,1.4088,2.22373,0.000531725,0.000531725,0.000531725
81,14081.4,1.78562,1.53103,2.0894,0.60213,0.37542,0.3698,0.19629,1.67267,1.40801,2.14558,0.000524392,0.000524392,0.000524392
82,14130.7,1.70312,1.51749,2.02966,0.66492,0.38707,0.42218,0.22208,1.63896,1.39417,2.10063,0.000517059,0.000517059,0.000517059
83,14178.5,1.74985,1.42416,2.07139,0.78224,0.31576,0.38898,0.21304,1.61107,1.34156,2.11398,0.000509727,0.000509727,0.000509727
84,14316.7,1.74177,1.52996,2.09868,0.64336,0.36573,0.40322,0.22134,1.66939,1.3542,2.15875,0.000502394,0.000502394,0.000502394
85,14365.2,1.74642,1.49406,2.05028,0.63825,0.37313,0.41912,0.23267,1.67239,1.38297,2.1626,0.000495062,0.000495062,0.000495062
86,14413.9,1.67243,1.45466,2.01618,0.71451,0.39533,0.43745,0.23236,1.67185,1.39238,2.16751,0.000487729,0.000487729,0.000487729
87,14461.8,1.6942,1.37495,2.00821,0.68947,0.4282,0.40708,0.21943,1.65442,1.34005,2.13306,0.000480396,0.000480396,0.000480396
88,15009.2,1.70742,1.38579,1.99293,0.61872,0.38592,0.38245,0.20286,1.69942,1.36711,2.16469,0.000473064,0.000473064,0.000473064
89,15056.5,1.70912,1.33864,2.00251,0.59083,0.43395,0.3893,0.21352,1.67951,1.36841,2.15636,0.000465731,0.000465731,0.000465731
90,15104.7,1.66496,1.36353,2.0073,0.6911,0.39186,0.42041,0.23831,1.61299,1.34822,2.10507,0.000458399,0.000458399,0.000458399
91,15154.2,1.68699,1.42203,2.01848,0.65141,0.42078,0.43062,0.2491,1.58115,1.34236,2.06095,0.000451066,0.000451066,0.000451066
92,15204.2,1.66329,1.45776,2.00602,0.68779,0.42815,0.44251,0.26024,1.5858,1.311,2.0499,0.000443733,0.000443733,0.000443733
93,15254.2,1.66285,1.42081,2.02181,0.67339,0.44341,0.44196,0.2605,1.58599,1.29945,2.05338,0.000436401,0.000436401,0.000436401
94,15304.6,1.72738,1.39313,2.00987,0.75066,0.40878,0.44618,0.25517,1.59567,1.29203,2.08098,0.000429068,0.000429068,0.000429068
95,15356,1.73756,1.44969,2.05956,0.81,0.38818,0.4652,0.27231,1.53915,1.27259,2.0359,0.000421736,0.000421736,0.000421736
96,15432.6,1.66688,1.36014,2.00469,0.83964,0.36869,0.46371,0.26696,1.63223,1.28529,2.07112,0.000414403,0.000414403,0.000414403
97,15494.8,1.6331,1.32675,1.95038,0.67492,0.3814,0.44599,0.25482,1.62309,1.30846,2.05461,0.00040707,0.00040707,0.00040707
